Iter 0081020  Loss: 0.008260
Iter 0081040  Loss: 0.007567
Iter 0081060  Loss: 0.007629
Iter 0081080  Loss: 0.007752
Iter 0081100  Loss: 0.007429
Iter 0081120  Loss: 0.007649
Iter 0081140  Loss: 0.007910
Iter 0081160  Loss: 0.008114
Iter 0081180  Loss: 0.008274
Iter 0081200  Loss: 0.007143
Iter 0081220  Loss: 0.007566
Iter 0081240  Loss: 0.007479
Iter 0081260  Loss: 0.007358
Iter 0081280  Loss: 0.007650
Iter 0081300  Loss: 0.007520
Iter 0081320  Loss: 0.007907
Iter 0081340  Loss: 0.007684
Iter 0081360  Loss: 0.007284
Iter 0081380  Loss: 0.007573
Iter 0081400  Loss: 0.008030
Iter 0081420  Loss: 0.007508
Iter 0081440  Loss: 0.008144
Iter 0081460  Loss: 0.007451
Iter 0081480  Loss: 0.008638
Iter 0081500  Loss: 0.007798
Iter 0081520  Loss: 0.007287
Iter 0081540  Loss: 0.007833
Iter 0081560  Loss: 0.007794
Iter 0081580  Loss: 0.007590
Iter 0081600  Loss: 0.007426
Iter 0081620  Loss: 0.007933
Iter 0081640  Loss: 0.007706
Iter 0081660  Loss: 0.007430
Iter 0081680  Loss: 0.007790
Iter 0081700  Loss: 0.007295
Iter 0081720  Loss: 0.008083
Iter 0081740  Loss: 0.008258
Iter 0081760  Loss: 0.008082
Iter 0081780  Loss: 0.007612
Iter 0081800  Loss: 0.008688
Iter 0081820  Loss: 0.009679
Iter 0081840  Loss: 0.008953
Iter 0081860  Loss: 0.007928
Iter 0081880  Loss: 0.007515
Iter 0081900  Loss: 0.008884
Iter 0081920  Loss: 0.008917
Iter 0081940  Loss: 0.008317
Iter 0081960  Loss: 0.007656
Iter 0081980  Loss: 0.007846
Iter 0082000  Loss: 0.007205
Iter 0082020  Loss: 0.007578
Iter 0082040  Loss: 0.008392
Iter 0082060  Loss: 0.007952
Iter 0082080  Loss: 0.008036
Iter 0082100  Loss: 0.007970
Iter 0082120  Loss: 0.007800
Iter 0082140  Loss: 0.008904
Iter 0082160  Loss: 0.008317
Iter 0082180  Loss: 0.008110
Iter 0082200  Loss: 0.007787
Iter 0082220  Loss: 0.008075
Iter 0082240  Loss: 0.007729
Iter 0082260  Loss: 0.007665
Iter 0082280  Loss: 0.008215
Iter 0082300  Loss: 0.008024
Iter 0082320  Loss: 0.007959
Iter 0082340  Loss: 0.007572
Iter 0082360  Loss: 0.007802
Iter 0082380  Loss: 0.007559
Iter 0082400  Loss: 0.007570
Iter 0082420  Loss: 0.008401
Iter 0082440  Loss: 0.007763
Iter 0082460  Loss: 0.008338
Iter 0082480  Loss: 0.007594
Iter 0082500  Loss: 0.007346
Iter 0082520  Loss: 0.007456
Iter 0082540  Loss: 0.007212
Iter 0082560  Loss: 0.007491
Iter 0082580  Loss: 0.008051
Iter 0082600  Loss: 0.007778
Iter 0082620  Loss: 0.007217
Iter 0082640  Loss: 0.008418
Iter 0082660  Loss: 0.008970
Iter 0082680  Loss: 0.008185
Iter 0082700  Loss: 0.008344
Iter 0082720  Loss: 0.007448
Iter 0082740  Loss: 0.007454
Iter 0082760  Loss: 0.007591
Iter 0082780  Loss: 0.008311
Iter 0082800  Loss: 0.007852
Iter 0082820  Loss: 0.007612
Iter 0082840  Loss: 0.008589
Iter 0082860  Loss: 0.008888
Iter 0082880  Loss: 0.008188
Iter 0082900  Loss: 0.007879
Iter 0082920  Loss: 0.007752
Iter 0082940  Loss: 0.007660
Iter 0082960  Loss: 0.007371
Iter 0082980  Loss: 0.007974
Iter 0083000  Loss: 0.008216
Iter 0083020  Loss: 0.008123
Iter 0083040  Loss: 0.007688
Iter 0083060  Loss: 0.007489
Iter 0083080  Loss: 0.007267
Iter 0083100  Loss: 0.007584
Iter 0083120  Loss: 0.007345
Iter 0083140  Loss: 0.007626
Iter 0083160  Loss: 0.007499
Iter 0083180  Loss: 0.007837
Iter 0083200  Loss: 0.007847
Iter 0083220  Loss: 0.007850
Iter 0083240  Loss: 0.007578
Iter 0083260  Loss: 0.007324
Iter 0083280  Loss: 0.007807
Iter 0083300  Loss: 0.007578
Iter 0083320  Loss: 0.008569
Iter 0083340  Loss: 0.009279
Iter 0083360  Loss: 0.008002
Iter 0083380  Loss: 0.007394
Iter 0083400  Loss: 0.006926
Iter 0083420  Loss: 0.007574
Iter 0083440  Loss: 0.006992
Iter 0083460  Loss: 0.007813
Iter 0083480  Loss: 0.007675
Iter 0083500  Loss: 0.007421
Iter 0083520  Loss: 0.008159
Iter 0083540  Loss: 0.007503
Iter 0083560  Loss: 0.007660
Iter 0083580  Loss: 0.007393
Iter 0083600  Loss: 0.007233
Iter 0083620  Loss: 0.007771
Iter 0083640  Loss: 0.007767
Iter 0083660  Loss: 0.007066
Iter 0083680  Loss: 0.007068
Iter 0083700  Loss: 0.007377
Iter 0083720  Loss: 0.007476
Iter 0083740  Loss: 0.008087
Iter 0083760  Loss: 0.007923
Iter 0083780  Loss: 0.006952
Iter 0083800  Loss: 0.007946
Iter 0083820  Loss: 0.007533
Iter 0083840  Loss: 0.007244
Iter 0083860  Loss: 0.007490
Iter 0083880  Loss: 0.007351
Iter 0083900  Loss: 0.007682
Iter 0083920  Loss: 0.008386
Iter 0083940  Loss: 0.007917
Iter 0083960  Loss: 0.007750
Iter 0083980  Loss: 0.007020
Iter 0084000  Loss: 0.007435
Iter 0084020  Loss: 0.007455
Iter 0084040  Loss: 0.007508
Iter 0084060  Loss: 0.007312
Iter 0084080  Loss: 0.007134
Iter 0084100  Loss: 0.007435
Iter 0084120  Loss: 0.007842
Iter 0084140  Loss: 0.007758
Iter 0084160  Loss: 0.007491
Iter 0084180  Loss: 0.007479
Iter 0084200  Loss: 0.007453
Iter 0084220  Loss: 0.007586
Iter 0084240  Loss: 0.007502
Iter 0084260  Loss: 0.007272
